Date,Close_^NSEI,High_^NSEI,Low_^NSEI,Open_^NSEI,Volume_^NSEI,SMA20,Prev_Close,Prev_SMA20,Buy_Signal,Sell_Signal
2024-07-19,24530.900390625,24854.80078125,24508.150390625,24853.80078125,343800,24214.50986328125,24800.849609375,24166.31484375,False,False
2024-07-22,24509.25,24595.19921875,24362.30078125,24445.75,324200,24264.9173828125,24530.900390625,24214.50986328125,False,False
2024-07-23,24479.05078125,24582.55078125,24074.19921875,24568.900390625,436400,24311.97744140625,24509.25,24264.9173828125,False,False
2024-07-24,24413.5,24504.25,24307.25,24444.94921875,366600,24346.58740234375,24479.05078125,24311.97744140625,False,False
2024-07-25,24406.099609375,24426.150390625,24210.80078125,24230.94921875,391800,24373.45234375,24413.5,24346.58740234375,False,False
2024-07-26,24834.849609375,24861.150390625,24410.900390625,24423.349609375,383800,24412.96982421875,24406.099609375,24373.45234375,False,False
2024-07-29,24836.099609375,24999.75,24774.599609375,24943.30078125,355000,24454.24482421875,24834.849609375,24412.96982421875,False,False
2024-07-30,24857.30078125,24971.75,24798.650390625,24839.400390625,385000,24490.01240234375,24836.099609375,24454.24482421875,False,False
2024-07-31,24951.150390625,24984.599609375,24856.5,24886.69921875,333600,24531.37744140625,24857.30078125,24490.01240234375,False,False
2024-08-01,25010.900390625,25078.30078125,24956.400390625,25030.94921875,431300,24567.5974609375,24951.150390625,24531.37744140625,False,False
2024-08-02,24717.69921875,24851.900390625,24686.849609375,24789.0,345000,24588.37490234375,25010.900390625,24567.5974609375,False,False
2024-08-05,24055.599609375,24350.05078125,23893.69921875,24302.849609375,487000,24574.96240234375,24717.69921875,24588.37490234375,False,True
2024-08-06,23992.55078125,24382.599609375,23960.400390625,24189.849609375,312300,24558.56240234375,24055.599609375,24574.96240234375,False,False
2024-08-07,24297.5,24337.69921875,24184.900390625,24289.400390625,317600,24551.77744140625,23992.55078125,24558.56240234375,False,False
2024-08-08,24117.0,24340.5,24079.69921875,24248.55078125,311900,24541.40498046875,24297.5,24551.77744140625,False,False
2024-08-09,24367.5,24419.75,24311.19921875,24386.849609375,215100,24543.98251953125,24117.0,24541.40498046875,False,False
2024-08-12,24347.0,24472.80078125,24212.099609375,24320.05078125,279900,24536.225,24367.5,24543.98251953125,False,False
2024-08-13,24139.0,24359.94921875,24116.5,24342.349609375,239700,24513.8400390625,24347.0,24536.225,False,False
2024-08-14,24143.75,24196.5,24099.69921875,24184.400390625,303300,24490.3775390625,24139.0,24513.8400390625,False,False
